1,活跃度,点赞数,互粉数,出生日期,品牌名,城市级别,评论数,发表日期,正负面,文章类型,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,爱好,用户名,原文地址,用户标注情感,价格标签,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,原微博内容,情感,店名,抓取来源,微博数,标签,发布终端,内容,标题,用户标志,是否为水军,认证类型,产品名
37,,1,50,,tian_三九,一线城市,0,2015/12/22 16:50,,原创,160,女,3.92289E+19,3,1,退烧药,退热|家庭|常备|宝宝|药品|相对|退烧药|麻麻|放心|用户量|最大|小林|退热|随便|购买|孩子|年龄|入手|这款|2岁|粉色|16片|最近|上海|儿童医院|爆棚|麻麻|实际|情况|家中|一点|欢迎|微信|fanmili|1122,天蝎座|F1|星座|动感101|电影,饭米粒Lamy,http://weibo.com/1968131583/D9BzEeYdy,,,上海,,普陀区,228,,2,,,1,,新浪微博,2890,未打标签,360安全浏览器,退热贴是家庭常备的宝宝药品之一，相对于退烧药，这个更令麻麻们放心，用户量最大的小林退热贴不能随便购买，要根据孩子的年龄入手，这款是2岁以上的娃，粉色16片。最近上海各大儿童医院爆棚，麻麻们可根据实际情况在家中备一点。欢迎加微信：fanmili1122,,1968131583,真实用户,普通用户,发烧
38,,0,128,,tian_三九,三线城市,8,2016/1/15 0:46,,原创,422,女,3.93135E+19,8,1,退热,十一点多|发现|朵朵|发烧|一量|39.3|紧急|退烧|退热|可怜|孩子|小时|过去|38.3|不敢,天蝎座|猫|星座|时尚|电影,V-V很美味,http://weibo.com/1786659910/Dd9wi8w7f,,,江苏,,苏州,1083,,0,,,-1,,新浪微博,390,未打标签,iPhone 6s Plus,十一点多发现朵朵又发烧了，一量耳温39.3[震惊]紧急退烧[悲催]塞颗退热栓[纠结]可怜的孩子?一小时过去了，38.3[泪流满面]都不敢睡,,1786659910,真实用户,微博达人,发烧
39,,0,3,2014,tian_三九,三线城市,0,2016/1/14 23:38,,原创,43,女,3.93133E+19,0,1,退热,419|宝儿|下午|一点|睡觉|早晨|六点|吃的|期间|睡着|睡着|突然|厉害|奶奶|打电话|粑粑|粑粑|打电话|给我|来到|医院|一量|发热|38.4|儿科|禁食|小时|退热|到家|体温|正常|宝贝,,闰闰Baby,http://weibo.com/5384900299/Dd94ymLQs,,,河南,,商丘,28,,0,,,1,,新浪微博,588,未打标签,iPhone 6s,D419[心]闰宝儿下午一点就睡觉了，还是早晨六点吃的奶，这期间什么都没吃！可睡着睡着突然吐了，吐的还很厉害！奶奶打电话给粑粑，粑粑又打电话给我，来到医院一量发热了38.4。去了儿科说禁食6小时用退热栓。可回到家就给吃了又吐了！体温降正常了。宝贝，快些好起来吧！,,5384900299,真实用户,普通用户,发烧
40,,0,0,2014,tian_三九,三线城市,3,2015/7/22 22:31,,原创,26,男,3.86753E+19,3,1,流鼻涕,day|1岁|2个|宝贝|今天|14个|恭喜|特殊|日子|麻麻|拍照|粑粑|不在家|不理|宝贝|昨天|流鼻涕|今天|咳嗽|好像|着凉|感冒|麻麻|心疼|奶奶|最近|感冒|两回|是因为|宝宝|头发|出汗|感冒|真是|不可理喻,育儿|儿科医生|亲子,我是小坚强,http://weibo.com/5137474223/CskSetF31,,,广东,,深圳,92,,0,,,1,,新浪微博,574,未打标签,iPhone 6,day1岁＋2个月。宝贝今天满14个月啦！[鼓掌][鼓掌]恭喜！哈哈。在这个特殊的日子里，麻麻居然没有给你拍照。呃。粑粑也不在家。我们不理他了！宝贝昨天流鼻涕，今天又咳嗽了，好像是着凉感冒。麻麻很心疼。奶奶带的最近都感冒两回了，居然还说是因为宝宝头发长所以热出汗才感冒的。真是不可理喻[笑cry],,5137474223,真实用户,普通用户,感冒
41,,0,58,1990,tian_三九,其他,0,2015/12/10 17:11,,原创,272,女,3.91855E+19,0,1,物理降温,美国|退烧|be|koool|药物|属于|物理|降温|儿童|?喱|退热|清凉|效果|可持续|8个|小时|发热|立即|使用|安全|配合|药物|治疗|安全|温和|额头|腮帮|颈部|需要|降温|部位|安全|有效|家中|常备,汕头|淘宝|美食|潮汕|音乐,麒Baby美国直邮生活馆,http://weibo.com/1884606865/D7MA47870,,,海外,,美国,489,,0,,,1,,新浪微博,7282,未打标签,iPhone 6,美国退烧贴【Be Koool】，非药物，属于物理降温，儿童?喱退热贴的清凉效果可持续8个小时，发热后可以立即使用。也可以安全的配合药物治疗；安全温和的贴在额头、腮帮、颈部或者其他需要降温的部位，安全有效，家中常备,,1884606865,真实用户,微博达人,发烧
42,,0,17,1986,tian_三九,五线城市,0,2015/12/10 0:07,,原创,127,女,3.91829E+19,0,1,物理降温,伺候|孩子|常规|吃喝拉撒睡|兄弟|一起|生病|咽喉|疱疹|今天|晚上|上吐下泻|两次|老二|午睡|莫名|高烧|39度|现在|病情|稳定|买药|喂药|物理|降温|消毒|睡觉|电影|没时间,宝宝|电影|母乳喂养|育儿|辅食,老稳俊的小妞,http://weibo.com/1244239062/D7FSfAz2B,,,其他,,,280,,0,,,-1,,新浪微博,1352,未打标签,三星GALAXY S4,伺候俩孩子常规的吃喝拉撒睡已经够累的了，偏偏俩兄弟又一起生病?。老大咽喉疱疹刚好，今天晚上又上吐下泻各两次。老二午睡起来莫名高烧到39度多。忙到现在病情基本已稳定。买药喂药，物理降温，醋消毒，哄睡觉。。。忙到电影都没时间看???。,,1244239062,真实用户,普通用户,发烧
43,,0,6,,tian_三九,二线城市,0,2016/4/16 14:28,,原创,45,女,3.9649E+19,0,1,退烧,福州|回来|一路|匆忙|差点|上车|到家|儿子|夜里|闹腾|连续|两三天|在家|美林|退烧|今天|忍不住|喉咙|疱疹|要好|几天|好了|晨晨|加油|快快|战胜|病毒,美食|时尚|吃货,The_Dandelion_girl,http://weibo.com/1716473944/Dredm3omG,,,福建,,福州,59,,0,,,1,,新浪微博,69,未打标签,iPhone 6,福州，我们又回来了。这一路走的匆忙，差点又赶不上车了，一到家儿子夜里就开始闹腾，连续烧了两三天，在家吃美林退烧。今天忍不住去看了下，居然喉咙长了疱疹，这下又要好几天才能好了呢。晨晨，加油，快快战胜病毒！ http://t.cn/R2WxlPJ,,1716473944,真实用户,普通用户,发烧
44,,0,57,1995,tian_三九,二线城市,0,2015/8/21 0:29,,转发,265,女,3.87807E+19,0,1,低烧,宝宝|低烧|没什么|喉咙|有点痛,EXO|彩妆,白牙灿与奶油勋,http://weibo.com/5172038152/CwL2H64BF,,,广东,,广州,2082,,0,3.87589E+15,I Pray for Tianjin.,-1,,新浪微博,15746,未打标签,??のiPhone 6 Plus,宝宝我还有点低烧嘤嘤嘤 不过没什么事啦 就是喉咙有点痛,,5172038152,真实用户,普通用户,发烧
45,,0,5,,tian_三九,一线城市,0,2015/8/20 22:22,,原创,133,女,3.87804E+19,0,1,低烧,宝贝|低烧|……|打针|反应|今年|七夕|宝贝|在家|度过,辣妈|亲子|音乐|淘宝|购物,小宝儿麻麻2014,http://weibo.com/2477245295/CwKd7wiKO,,,天津,,河东区,212,,0,,,1,,新浪微博,2152,未打标签,三星GALAXY S4,宝贝低烧中……打针反应吧[疑问]今年的七夕陪宝贝在家度过[心],,2477245295,真实用户,普通用户,发烧
46,,0,276,,tian_三九,其他,0,2016/3/27 0:43,,原创,701,女,3.95744E+19,0,1,支气管炎,纯手工|柚子|柚子|治疗|咳嗽|适合|幼年|儿童|柚子|用于|改善|宝宝|感冒|咳嗽|症状|治疗|支气管炎|孩子|日常|食用|柚子|达到|强健|肺部|功效|适合|中老年人|中老年人|柚子|能够|有效|预防|中风|柚子|冰糖|蒸煮|早晚|服用|还可以|治疗|老人|一包|300,美甲|兼职|双鱼座|东莞|时尚,_藤原奈美_,http://weibo.com/1919222320/Do6gH0eoo,,,海外,,韩国,842,,0,,,1,,新浪微博,601,未打标签,iPhone客户端,“纯手工柚子皮[色]---吃柚子皮可以治疗咳嗽的哦?适合幼年儿童?柚子皮能用于改善宝宝感冒和咳嗽的症状，而且还能治疗支气管炎?孩子日常食用柚子皮，还能达到强健肺部的功效。还适合中老年人。中老年人常吃柚子能够有效预防中风。柚子皮加冰糖蒸煮，早晚服用还可以治疗老人久咳不愈。 一包300g,,1919222320,真实用户,微博达人,发炎
47,,0,55,1990,tian_三九,三线城市,3,2016/3/22 8:40,,原创,236,女,3.95575E+19,3,1,受凉,医生|您好|我家|宝宝|四个|最近|总是|经常性|咳嗽|特别是|睡醒|今天|早上|流鼻涕|请问|是不是|受凉|原因|治疗|服用|保婴丹|治疗|着急|麻烦|医生|快快|帮帮我|一直|身边|小孩|四个|之后|比较|容易|生事|着急|……,,Q涵_S,http://weibo.com/1770694850/DnofGcEdK,,,广东,,揭阳,313,,0,,,-1,,新浪微博,1088,未打标签,荣耀畅玩4X?快科技,崔医生您好！我家宝宝四个月大了。最近总是经常性咳嗽，特别是刚睡醒时，今天早上起来还伴有点流鼻涕，请问是不是有点受凉了呢？还是别的原因，该如何治疗呢？可以服用保婴丹治疗吗？我好着急，麻烦崔医生快快帮帮我，因为一直听身边人说小孩四个月之后就比较容易生事了，所以更加着急……@崔玉涛,,1770694850,真实用户,普通用户,感冒
48,,0,28,1990,tian_三九,三线城市,9,2016/3/22 8:30,,原创,160,女,3.95575E+19,9,1,受凉,郁金香|宝宝|回来|发烧|风里|睡着|受凉|低烧|降降温|喝药|精神|还可以|睡觉|大哭|一度|39度|美林|夜里|两次|一直|出去玩|宝宝|一些,,毛毛毛若龄cali,http://weibo.com/2906609883/DnobS7BlI,,,湖北,,十堰,114,,0,,,1,,新浪微博,114,未打标签,iPhone 6s,看了个?郁金香，宝宝回来就发烧了，可能是在大风里睡着受凉了，低烧我就给她降降温没喝药，她精神还可以，就是睡觉老醒，一醒就大哭，后来一度快烧到39度了我就给喝美林了，夜里还是醒了两次，揪着奶一直吃，哎，出去玩还是等宝宝再大一些吧,,2906609883,真实用户,普通用户,感冒
49,,0,8,,tian_三九,五线城市,1,2015/7/5 19:25,,原创,98,女,3.86133E+19,1,1,流鼻涕,儿子|26号|发烧|生病|现在|流鼻涕|好了|以后|觉得|长大|好几个|看见|让给|奶奶|打电话|奶奶|看着|电视|方言|清楚|真的|好多|沟通,,哇塞铁扇公主,http://weibo.com/2003736774/CpJopE72e,,,其他,,,168,,0,,,1,,新浪微博,2349,未打标签,乐1,儿子26号发烧生病，现在还有点流鼻涕。好了以后觉得忽然长大了。会说好几个字的话了。看见瓜会让给奶奶打电话然后让奶奶吃瓜，看着电视问我这是啥啊！还带着方言。哈哈虽然说的不太清楚但是真的懂了好多，可以沟通了。,,2003736774,真实用户,普通用户,感冒
50,,0,28,,tian_三九,三线城市,0,2016/3/8 6:19,,原创,171,男,3.95064E+19,1,1,鼻炎,发表|博文|外敷|好了|女儿|鼻炎|原文|外敷|好了|女儿,佛法|佛教|电影|大圆满|音乐,圆满-金刚,http://weibo.com/1330458944/Dlflopdys,,,辽宁,,锦州,1202,,1,,,1,,新浪微博,11633,未打标签,新浪博客,发表了博文《药外敷神阙，治好了女儿的鼻炎》原文：http://t.cn/RG89F2r药外敷神阙，治好了女儿的鼻http://t.cn/RG8CZsu,,1330458944,真实用户,普通用户,感冒
51,,1,102,1986,tian_三九,三线城市,0,2016/5/7 12:28,,原创,274,女,3.97247E+19,1,1,百日咳,纯手工|自制|冰糖|柠檬|柠檬|具有|化痰止咳|健脾|功效|常用|暑热|咽喉|炎症|咳嗽|小儿|百日咳|冰糖|清热|润肺|柠檬|化痰止咳|二者|合用|增大|清热|止咳|作用|冰糖|柠檬|饮用|起到|养颜美容|阴润|作用|500,美食|汽车|健康|时尚|电影,潮汕特产专卖店,http://weibo.com/2947592443/DupoYCKGy,,,广东,,揭阳,15689,,0,,,1,,新浪微博,6488,未打标签,三星Galaxy NOTE III,??纯手工自制 【冰糖炖柠檬】柠檬味酸甘、性平，入肝、胃经，具有化痰止咳，生津，健脾的功效。常用于暑热，?咽喉炎症，咳嗽痰多、小儿百日咳等症。冰糖清热润肺，柠檬化痰止咳。二者合用能增大清热止咳的作用。?用冰糖炖柠檬饮用，可起到养颜美容，滋阴润肺的作用。500g,,2947592443,真实用户,普通用户,咳嗽
52,,0,37,,tian_三九,五线城市,0,2016/5/16 18:04,,原创,253,女,3.97582E+19,0,1,痰多,麦卢卡|蜂蜜|吴尊|女儿|最爱|康维他|麦努卡|蜂胶|等于|昂贵|麦努卡|蜂蜜|柠檬|蜂胶|每包|500克|特别|适合|感冒|人士|富含|麦卢卡|10|蜂蜜|麦卢卡|蜂胶|注意|含有|蜂蜜|蜂胶|麦卢卡|蜂蜜|消炎|奇效|特别是|胃疼|难受|嗓子|沙哑|感冒|流涕|抽烟|有效,五月天|STAYREAL|阿信|八三夭|音?,轻松小圆nov22,http://weibo.com/1732642450/DvOrX6D6x,,,其他,,,250,,0,,,1,,新浪微博,3243,未打标签,iPhone 6,??麦卢卡蜂蜜糖??吴尊女儿最爱，康维他麦努卡蜂胶糖，吃它等于在喝昂贵的麦努卡蜂蜜 柠檬味蜂胶糖每包500克(特别适合爱感冒的人士)，富含麦卢卡10+蜂蜜以及麦卢卡蜂胶。注意是同时含有蜂蜜和蜂胶！麦卢卡花的蜂蜜对消炎有奇效。特别是对胃疼难受，嗓子沙哑，感冒流涕，抽烟痰多等等特有效～,,1732642450,真实用户,普通用户,咳嗽
53,,2,51,,tian_三九,二线城市,0,2016/5/8 16:45,,原创,113,女,3.9729E+19,2,1,百日咳,纯手工制作|冰糖|柠檬|适合|咳嗽|熬夜|上火|小儿|百日咳|声音|嘶哑|咽喉炎|烟酒|过多|便秘|具有|清热|润肺|化痰|润喉|健脾开胃|美白|淡斑,花都,??123,http://weibo.com/1887146820/DuAwbmjJL,,,广东,,广州,144,,0,,,1,,新浪微博,122,未打标签,陌陌,纯手工制作的冰糖柠檬膏适合：咳嗽痰多，熬夜上火，小儿百日咳，声音嘶哑，咽喉炎，烟酒过多，便秘。具有清热润肺，降燥利咽，化痰润喉，健脾开胃，美白淡斑。 http://t.cn/Rqm7Ilk,,1887146820,真实用户,普通用户,咳嗽
54,,2,11,,tian_三九,三线城市,0,2016/4/7 22:43,,原创,43,男,3.96176E+19,2,1,支气管炎,11|17|计划|继续|断奶|察觉|喉咙|呼吸|声音|担心|支气管炎|明天|医生|暂停|断奶|精神|状况|不错|希望|宝宝|没事|萌主|驾到,,我叫?其麦,http://weibo.com/5652211971/DpUC1m5RO,,,江西,,抚州,50,,0,,,1,,新浪微博,291,未打标签,iPhone 6 Plus,11M?17  计划继续断奶，但是察觉喉咙痰多，呼吸有呼啦呼啦的声音，担心是支气管炎，明天去看医生，所以暂停了断奶，精神状况不错，希望宝宝没事[委屈]   #萌主驾到#,萌主驾到,5652211971,真实用户,普通用户,发炎
55,,0,126,,tian_三九,五线城市,0,2015/5/27 6:19,,原创,238,男,3.847E+19,0,1,着凉,简单的|一句话|想你|真的|没什么|听听|宝贝|声音|乖乖|上课|下课|给我|短信|过来|我会|努力|挣钱|左手|一只|被子|着凉|私奔|现在,,巩冰绿201408,http://weibo.com/5255856496/CjIzJfui3,,,其他,,,252,,0,,,1,,新浪微博,267,未打标签,微博 weibo.com,这么简单的一句话，却让心如此暖------1、想你了，真的。2、没什么事，就想听听宝贝的声音。3、快去吧，我就站在这等你。4、乖乖上课，快下课了给我短信，我过来接你。5、我会努力挣钱，养你。6、左手被你枕的有点麻了，我换一只手。7、盖好被子，别着凉了。8、我们私奔吧，就现在。,,5255856496,真实用户,普通用户,感冒
56,,0,7,,tian_三九,三线城市,0,2015/12/29 16:04,,原创,78,女,3.92542E+19,0,1,支气管炎,提问|医生|宝宝|8个|最近|感冒|传染|给他|连续|咳嗽|3天|夜间|厉害|流鼻涕|发烧|进食|正常|精神状态|很好|医生|诊断|支气管炎|验血|小儿|咳喘|口服液|头孢|分散片|易坦静|止咳|需要|头孢|抗生素|是否|不吃,,shinesj,http://weibo.com/1909427231/DaFgueTXU,,,江苏,,苏州,30,,0,,,1,,新浪微博,345,未打标签,360安全浏览器,向@张思莱医师 提问：张医生，宝宝8个月，最近我感冒可能传染给他了，连续咳嗽3天，夜间跟晨起咳的厉害点，有点流鼻涕，没有发烧，进食正常，精神状态也很好，医生诊断支气管炎，没有验血，配了小儿肺热咳喘口服液、头孢地尼分散片、易坦静跟止咳贴，我想问需要吃这么多药吗？头孢是抗生素是否可以不吃,,1909427231,真实用户,普通用户,发炎
57,,0,86,1983,tian_三九,三线城市,1,2015/12/31 17:46,,原创,853,女,3.92617E+19,1,1,出虚汗,怀姜|糖膏|8岁|小孩|健脾胃|18岁|女孩|宫寒|28岁|气血|38岁|容颜|48岁|心神|58岁|提神|68岁|强筋骨|78岁|延益寿|糖膏|老一辈|传承|下来|道理|觉得|气血|出虚汗|睡眠|不好|气短|怀姜|糖膏,电影|美食|时尚|吃|哈尔滨,果淘妈咪纯手工阿胶膏,http://weibo.com/1823000361/DaYMxgEQd,,,黑龙江,,大庆,619,,0,,,1,,新浪微博,4341,未打标签,华为Ascend Mate7,怀姜糖膏??以温抵寒，?8岁小孩健脾胃、?18岁女孩散宫寒、?28岁调气血、?38岁养容颜、?48岁宁心神、?58岁提神气、?68岁强筋骨、?78岁延益寿，怀姜糖膏老一辈传承下来不是没有道理的 ?  如果你觉得气血虚、出虚汗、睡眠不好还气短，怀姜糖膏来帮你 ? ！,,1823000361,真实用户,微博达人,感冒
58,,0,16,,tian_三九,三线城市,0,2015/11/5 15:01,,原创,94,女,3.90583E+19,0,1,一直咳,提问|奶奶|你好|男宝|一岁|10月|16号|发烧|幼儿|一直|咳嗽|一个半月|一天|咳嗽|4次|喉咙|一直|吃药|药都|6种|化做|5天|没什么|效果|咳嗽|始终|根治|请问|奶奶|应该|料理|还要|需要|医院|家人|现在|急死了|谢谢|奶奶,育儿|亲子,风乐--发呆,http://weibo.com/1864477057/D2rLWvWip,,,浙江,,绍兴,69,,0,,,1,,新浪微博,253,未打标签,育儿专家问诊,向@鲍秀兰 提问：奶奶你好，男宝一岁，自10月16号发烧出幼儿急疹后一直咳嗽，都一个半月了，一天咳嗽3-4次，喉咙有痰咳不出来，一直在吃药，药都换了5-6种了，雾化做了5天也没什么效果，咳嗽始终根治不了，请问奶奶应该如何料理，药还要吃吗，需要去医院吸痰吗？家人现在都急死了，盼回复，谢谢奶奶,,1864477057,真实用户,普通用户,咳嗽
59,,0,38,,tian_三九,五线城市,0,2015/7/28 4:07,,原创,72,男,3.86943E+19,0,1,物理降温,两个|姐妹|视频|探视|系统|尽兴|两个孩子|精神状态|很好|真的|高兴|昨天|游玩|原因|晚上|月月|感到|疲倦|晚餐|睡觉|23|00|月月|体温|38.9度|进行|物理|降温|服用|头孢|三九|感冒|颗粒,,小月月骨髓移植进程实时更新,http://weibo.com/3513823835/Ct8dcFmF9,,,其他,,,90,,0,,,1,,新浪微博,289,未打标签,华为Ascend Mate7,两个小姐妹通过视频探视系统聊的很尽兴，两个孩子的精神状态都很好，真的为她们而高兴。可能是昨天去游玩的原因，晚上月月就感到很疲倦，也没有吃晚餐就去睡觉了。大约在23：00的时候，月月的体温很高，38.9度。我们给她进行了物理降温，服用了头孢克洛和三九感冒灵颗粒。 http://t.cn/RLAWHss,,3513823835,真实用户,普通用户,发烧
60,,0,23,1989,tian_三九,其他,0,2015/10/5 10:16,,原创,352,女,3.89453E+19,0,1,咳痰,怀孕日记|12|昨晚|继续|半夜|喉咙|咳痰|黄褐色|空腹|喝的|柠檬水|维c|煮粥|冰糖|雪梨|不敢|吃药|只好|食疗|黄先森|今天|给我|炖鸡汤|希望|霹雳|宝宝健康|感冒|影响|老娘|一个人,淘宝|电影|香港|分娩|美食,二叔婆儿,http://weibo.com/1741828832/CDF6Zlqx8,,,海外,,韩国,1377,,0,,,1,,新浪微博,2262,未打标签,iPhone 6 Plus,#怀孕日记#12w?6，昨晚喝了水继续捂汗，睡的太早醒的也早。半夜喉咙不疼了改咳痰了[汗]还是黄褐色的痰，起来空腹喝的柠檬水补点维C，煮粥炖冰糖雪梨，不敢吃药只好靠食疗。黄先森去今天给我炖鸡汤喝，希望我们霹雳宝宝健康，别受感冒影响，老娘我一个人扛扛就好。[奥特曼],怀孕日记,1741828832,真实用户,普通用户,咳嗽
61,,1,604,1995,tian_三九,三线城市,9,2016/3/3 8:39,,原创,747,女,3.94886E+19,10,1,喉咙痛,每次|喉咙|痛感|发烧|身边|无数次|觉得|抵死|坏习惯|宝宝|心里|宝宝|要说,时尚|学生|美食|自由|旅游,芝华Chiva_,http://weibo.com/1862369815/Dkv7RlUqn,,,广东,,东莞,1539,,0,,,-1,,新浪微博,782,未打标签,Android客户端,每次都因为穿得少 冻亲 喉咙痛感冒发烧 已经被身边的人讲佐无数次 忽然觉得自己抵死 呢个坏习惯可唔可以改 可唔可以改?好痛 宝宝心里苦宝宝要说,,1862369815,真实用户,微博达人,发炎
62,,0,1,2000,tian_三九,二线城市,0,2016/4/7 7:29,,原创,53,女,3.96153E+19,0,1,鼻塞,宝贝|从来不|早晨|醒来|鼻塞|整夜|睡眠质量|下降|眼睛|寻求帮助|无果|一直|迷迷糊糊|终于|忍不住,互联网|电子商务,闪闪的芊小芊,http://weibo.com/1762107025/DpOCZi5h5,,,湖南,,长沙,271,,0,,,1,,新浪微博,245,未打标签,魅族 MX5,宝贝从来不会在早晨哭着醒来，然而鼻塞让她整夜睡眠质量下降，闭着眼睛寻求帮助无果（我太困一直迷迷糊糊），终于忍不住哭起来。,,1762107025,真实用户,普通用户,感冒
63,,1,2,,tian_三九,二线城市,0,2016/1/29 21:22,,原创,41,女,3.93673E+19,1,1,咽炎,女儿|生病|认为|是因为|我的|疏忽|大意|病毒|细菌性|咽炎|总是|地方|游乐场|回家|彻底|洗手|消毒|引起|病毒|细菌|倾入|快快|一夜|心疼|操心|希望|明天|一早|好了|妈妈|带你去|看电影|草莓,,我是焕焕的宝贝儿,http://weibo.com/3175740943/DfpAFBxnH,,,海南,,海口,457,,0,,,-1,,新浪微博,674,未打标签,iPhone 6 Plus,女儿生病了，我认为全是因为我的疏忽和大意。病毒细菌性的咽炎，因为总是带她去人多的地方和游乐场，回家后又没有彻底的洗手消毒，所以引起病毒和细菌倾入。快快好起来吧。一夜没睡，除了心疼就是操心。希望明天一早起来什么都好了，妈妈带你去看电影。去摘草莓?。,,3175740943,真实用户,普通用户,发炎
64,,2,42,,tian_三九,三线城市,4,2016/3/24 16:40,,原创,361,女,3.95659E+19,6,1,着凉,最近|严重|睡眠不足|有病|着凉|整个|精神状态|好了|单位|不断|出错|有时候|觉得|疲惫|再多|借口|孩子|省事|有病|任何人|困难|认真|好了,泰国佛牌|备孕|旅行|旅游|美食,我不是射手座射手座,http://weibo.com/1735500345/DnKfwxya4,,,黑龙江,,佳木斯,194,,0,,,-1,,新浪微博,354,未打标签,iPhone 6,最近严重的睡眠不足，娃一有病把我弄的不是怕她踢被就怕她在着凉的，整个人精神状态都不好了，在单位不断的出错，有时候觉得心好疲惫，出了错说再多都是借口，孩子是你自己的，省不省事有没有病都是你自己的事，所以，不要和任何人讲困难，只要认真的去做就好了。 http://t.cn/RyhoL1e,,1735500345,真实用户,普通用户,感冒
65,,0,7,1987,tian_三九,三线城市,0,2016/3/24 16:30,,原创,213,女,3.95659E+19,0,1,着凉,蚂蚁|农场|温馨提示|春季|流感|多发|预防|1.|清淡|饮食|多饮水|2.多|蔬果|运动|增加|抵抗力|3.|通风|换气|保持|空气清新|4.|身体状况|注意|着凉|尤其|老人|孩子|流感|流感|多喝水|蚂蚁|农场|大麦|若叶青,时尚|80后,瘦小的我,http://weibo.com/1646348377/DnKbw1exZ,,,江苏,,苏州,140,,0,,,1,,新浪微博,1031,未打标签,iPhone 6(土豪金),蚂蚁农场-温馨提示[爱心]春季流感多发，如何预防？1.要清淡饮食，多饮水。2.多吃蔬果，多运动，增加抵抗力。3.经常通风换气，保持空气清新。4.根据身体状况填衣加被，注意不要感寒着凉，尤其是老人及孩子。#流感[电影]##流感##多喝水##青汁##蚂蚁农场大麦若叶青汁#,流感[电影]|流感|多喝水|青汁|蚂蚁农场大麦若叶青汁,1646348377,真实用户,普通用户,感冒
66,,0,223,,tian_三九,二线城市,0,2016/2/25 20:55,,原创,629,女,3.94651E+19,0,1,嗓子疼,宝贝|小桃|昨天下午|外面|小伙伴|下午|晚上|回家|满头|当时|担心|感冒|出乎|我的|意料|半夜|嗓子疼|症状|赶紧|针灸|高兴|告诉|嗓子|家中|常备|宝贝|生病|不用|宝贝|安心|妈妈放心,育儿|亲子|广州|爱情|音乐,苏斯-健康专家,http://weibo.com/1825615562/DjvX9ecu3,,,广东,,广州,928,,0,,,1,,新浪微博,1963,未打标签,iPhone 6 Plus,自家宝贝小桃昨天下午在外面和小伙伴们疯跑了一下午，晚上回家时满头是汗，我当时就担心感冒，谁知不出乎我的意料，半夜起来[流泪]嗓子疼，看了他的症状我赶紧把艾针灸给用上，今早起来高兴的告诉我他的嗓子不疼啦，所以家中常备各种灸，宝贝生病不用愁，宝贝安心，妈妈放心！ http://t.cn/R2W6Jke,,1825615562,真实用户,微博达人,发炎
67,,1,74,,tian_三九,一线城市,0,2015/6/8 18:47,,原创,303,女,3.85153E+19,1,1,支气管炎,父母|孩子|好的|医生|支原体|病毒|流行|期间|判断|普通|感冒|区别|支原体|感染|化验|血常规|通常|显示|正常|血象|感冒|发烧|咳嗽|表现|为先|咳嗽|发烧|咳嗽|剧烈|容易|被忽视|随后|迅速|发展|支气管炎|肺炎|使用|阿奇|霉素|退烧|有效|预示|对证|可能性|较大,,营养师西米,http://weibo.com/1407621322/ClCBp86Z0,,,北京,,,312,,0,,,1,,新浪微博,874,未打标签,iPhone 6,#父母是孩子最好的医生#在支原体病毒流行期间，如何判断与普通感冒的区别，支原体感染化验血常规通常显示较正常的血象，与感冒先发烧后咳嗽不同表现为先咳嗽后发烧，且初起咳嗽不剧烈容易被忽视，随后迅速发展为支气管炎或肺炎，使用阿奇霉素退烧有效则预示对证的可能性较大。,父母是孩子最好的医生,1407621322,真实用户,普通用户,发炎
68,,1,49,,tian_三九,一线城市,1,2016/3/6 18:45,,原创,289,女,3.9501E+19,2,1,着凉,宝宝成长|日记|半夜|被子|着凉|轻微|咳嗽|看见|杯子|黑乎乎|摇摇手|假装|点儿|蜂蜜|痛快|一口|真的|长大|喝药|豪爽,美食|设计|旅行|马拉松|旅游,meimei01_10,http://weibo.com/2367177997/Dl1nlDmWy,,,北京,,,444,,0,,,-1,,新浪微博,723,未打标签,iPhone 6,#宝宝成长日记#半夜踢被子着凉，轻微咳嗽，看见杯子里黑乎乎的，便闻了闻，摇摇手说：“苦…苦…不要！不要！”假装倒了点儿蜂蜜，然后就如此痛快的一口喝下！真的是长大了，喝药如此豪爽！[good],宝宝成长日记,2367177997,真实用户,普通用户,感冒
69,,1,264,,tian_三九,三线城市,1,2016/3/28 7:28,,原创,824,女,3.9579E+19,2,1,流鼻涕,一款|简单|方便|纯中药|无副作用|产品|排毒|缓解|疲乏|失眠|腰酸背痛|关节|酸软|月经不调|痛经|口臭|脚臭|颈椎|酸痛|僵硬|小孩|感冒|发烧|流鼻涕|咳嗽|好的|效果|男女老少,,Lv-yin,http://weibo.com/2313610513/DoilrlMb7,,,广东,,茂名,823,,0,,,-1,,新浪微博,273,未打标签,小米手机3,我们足贴是一款简单方便，纯中药无副作用的产品，排毒祛湿，对缓解疲乏，失眠，腰酸背痛，关节酸软，月经不调，痛经，口臭，脚臭，颈椎酸痛，僵硬，小孩感冒发烧流鼻涕咳嗽都有很好的效果，男女老少都可以用。 http://t.cn/R2dURWk,,2313610513,真实用户,微博达人,感冒
